employee_id,week_number,num_meetings,total_sales_rmb,hours_worked,activities,department,hire_date,email,job_title
8,6,0,13249.63,45.49,Faced challenges with customer retention; launched loyalty program to improve retention.,Product Development,2023-01-25,david.liu@example.com,Product Engineer
8,7,3,43695.46,32.78,Faced challenges with customer retention; launched loyalty program to improve retention.,Product Development,2023-01-25,david.liu@example.com,Product Engineer
8,8,9,5666.09,41.8,Collaborated on cross-functional projects and documented processes.,Product Development,2023-01-25,david.liu@example.com,Product Engineer
8,9,6,47432.86,58.63,Collaborated on cross-functional projects and documented processes.,Product Development,2023-01-25,david.liu@example.com,Product Engineer
8,10,9,13158.18,59.74,Closed major sales deals and negotiated contracts.,Product Development,2023-01-25,david.liu@example.com,Product Engineer
9,1,9,12075.6,46.84,Closed major sales deals and negotiated contracts.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,2,4,22343.54,31.5,Analyzed quarterly financial data and presented insights.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,3,6,37363.53,54.23,Prepared the weekly report and met with clients.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,4,7,7474.3,54.94,Faced challenges with customer retention; launched loyalty program to improve retention.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,5,9,15222.8,50.12,Faced challenges with customer retention; launched loyalty program to improve retention.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,6,8,44253.19,51.85,Resolved critical IT tickets and performed system maintenance.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,7,8,4299.39,44.1,Prepared the weekly report and met with clients.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,8,6,41965.23,35.98,Optimized marketing campaigns and tracked KPIs.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,9,6,28223.32,42.36,Organized a product demo and gathered user feedback.,Finance,2023-03-06,eva.zhou@example.com,Accountant
9,10,7,23180.36,49.73,Resolved critical IT tickets and performed system maintenance.,Finance,2023-03-06,eva.zhou@example.com,Accountant
10,1,2,21722.18,41.28,Conducted system audits and updated security protocols.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,2,0,5554.84,52.71,Prepared the weekly report and met with clients.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,3,7,27508.12,50.57,Developed a new marketing strategy and coordinated with team.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,4,1,36549.52,52.34,Collaborated on cross-functional projects and documented processes.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,5,0,35405.11,36.2,Organized a product demo and gathered user feedback.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,6,9,47388.85,46.6,Prepared the weekly report and met with clients.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,7,4,10648.88,51.64,Closed major sales deals and negotiated contracts.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,8,1,45180.0,47.39,Conducted system audits and updated security protocols.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,9,3,14903.62,49.52,Conducted system audits and updated security protocols.,IT,2022-01-29,frank.wu@example.com,System Administrator
10,10,6,11216.55,34.74,Collaborated on cross-functional projects and documented processes.,IT,2022-01-29,frank.wu@example.com,System Administrator
